"distance","(Intercept)","do_mg_l","flow_cfs","temp_c","treatment","df","logLik","AICc","delta","weight"
0,1.13776743232791,NA,-4.50262789821998e-05,NA,"+",4,-107.393686017655,223.375607329427,0,0.49951644040452
0,1.55899991115105,NA,-4.48047486858686e-05,-0.0401558195770953,"+",5,-107.151232815449,225.197988018957,1.82238068952972,0.200828270350293
0,-0.521420162718743,0.151588924470656,-4.08345935092847e-05,NA,"+",5,-107.207098125359,225.309718638779,1.93411130935164,0.189916567366147
0,0.933384827095565,0.0489142369978477,-4.34996435757401e-05,-0.0315539037951242,"+",6,-107.142887267287,227.558501807301,4.18289447787436,0.0616944066192362
0,-4.11487404451362,0.440769075164957,NA,NA,"+",4,-110.52779444375,229.643824181619,6.26821685219159,0.0217482236986918
0,0.550519693082401,NA,NA,NA,"+",3,-112.28065720855,230.909140504057,7.53353317463026,0.0115521772298807
0,-6.62975779570899,0.613476158079651,NA,0.06502966772749,"+",5,-110.220289035756,231.336100459571,7.96049313014444,0.00933148294722616
0,1.0195511011215,NA,NA,-0.044407862982901,"+",4,-112.021100516043,232.630436326204,9.25482899677675,0.00488527712114366
0,1.67529492254385,NA,-3.63216087143311e-05,NA,NA,3,-116.168351408179,238.684528903315,15.3089215738878,0.000236733492292028
0,1.72889308730858,NA,-3.62712117777664e-05,-0.0049743505253533,NA,4,-116.165381254205,240.918997802527,17.5433904731005,7.74552657596608e-05
0,1.56311826192095,0.0103071580485956,-3.60262610156771e-05,NA,NA,4,-116.167663832899,240.923562959915,17.5479556304879,7.7278669644262e-05
0,1.14697473376114,NA,NA,NA,NA,2,-118.800554260309,241.772537092046,18.3969297626186,5.05483805796554e-05
0,-1.69679847914192,0.271700448318095,NA,NA,NA,3,-118.234987112947,242.817800312851,19.4421929834241,2.99730696010075e-05
0,1.91049088313117,-0.0142024378671786,-3.66527641411524e-05,-0.00748271055906406,NA,5,-116.164830954649,243.225184297357,19.8495769679303,2.44494398658613e-05
0,1.27036643042044,NA,NA,-0.0112972533896165,NA,3,-118.786272961348,243.920372009652,20.544764680225,1.72707349919678e-05
0,-4.5530994483228,0.467869962498004,NA,0.0735266274345778,NA,4,-117.916458889643,244.421153073404,21.0455457439769,1.3445210127397e-05
1,1.02209158638931,NA,-3.6157018936303e-05,NA,"+",4,-19.328141275322,47.456282550644,0,0.429858523560105
1,0.693648214044046,NA,-3.65467343725582e-05,0.0315782360153049,"+",5,-18.5685524761397,48.3615947481978,0.905312197553826,0.273362851976984
1,1.9137265076721,-0.0815116989765085,-3.83698713029121e-05,NA,"+",5,-19.0739381335318,49.3723660629819,1.91608351233791,0.164912393333798
1,1.14022207089737,-0.0380433118377369,-3.75434169062122e-05,0.0286527191742632,"+",6,-18.5184556895831,50.7869113791661,3.33062882852219,0.081299651122851
1,1.15053798841612,NA,-3.63669687838659e-05,NA,NA,3,-23.4193374492176,53.3092631337294,5.8529805830854,0.0230338724561288
1,0.812767245664414,NA,-3.67660646281612e-05,0.0324175225684256,NA,4,-22.7302883445697,54.2605766891394,6.80429413849545,0.0143150162013826
1,2.01176728811807,-0.0787097553992104,-3.85041539091768e-05,NA,NA,4,-23.2152473241398,55.2304946482796,7.77421209763567,0.00881407689663449
1,1.20550691528349,-0.0334452184342358,-3.76425427290291e-05,0.0298465896749397,NA,5,-22.6970120701273,56.6185139361729,9.16223138552893,0.0044032391776133
1,-2.54943937439178,0.292872620848477,NA,NA,"+",4,-34.2993411351718,77.3986822703436,29.9423997196996,1.35336847546421e-07
1,-3.74590264081693,0.355408667693704,NA,0.0506102174719864,"+",5,-33.2774093534423,77.7793085028029,30.3230259521589,1.11883004367946e-07
1,0.5505196930824,NA,NA,NA,"+",3,-36.7636831682583,79.9979545718107,32.5416720211667,3.68970162356556e-08
1,-2.46570098218719,0.297050516204736,NA,NA,NA,3,-36.8310021819542,80.1325925992026,32.6763100485586,3.44949064241852e-08
1,-3.69291832546765,0.361110188426086,NA,0.0518764079189351,NA,4,-35.8522564251673,80.5045128503347,33.0482302996907,2.86413520003029e-08
1,0.334610808881464,NA,NA,0.0204422390101152,"+",4,-36.596002120172,81.992004240344,34.5357216897,1.36140977170454e-08
1,0.680280021160018,NA,NA,NA,NA,2,-39.1498598725819,82.5304889759329,35.074206425289,1.0400599876261e-08
1,0.45557892336842,NA,NA,0.0212411362556553,NA,3,-38.983851375624,84.4382909865421,36.9820084358982,4.00667804221063e-09
6,0.327099158596994,NA,-3.28599209324776e-05,0.0617304250744426,"+",5,-15.5410842561584,42.6206300507783,0,0.261489084426751
6,0.407053882448546,NA,-3.82093840332576e-05,0.0661392498533763,NA,4,-17.0267755877218,43.0535511754435,0.432921124665263,0.210593972387267
6,0.975453674349057,NA,-3.25811317964569e-05,NA,"+",4,-17.3892402501122,43.7784805002244,1.15785044944616,0.146564750794619
6,1.11390950607102,NA,-3.84254531848187e-05,NA,NA,3,-19.0190906746792,44.623547203017,2.00291715223876,0.096056250671142
6,2.92256474296902,-0.178115524112239,-3.73208985355329e-05,NA,"+",5,-16.5495226828953,44.6375069042522,2.01687685347395,0.0953881268054465
6,0.81989942292205,-0.0398318773559457,-3.38952040533143e-05,0.0562682816865582,"+",6,-15.5113962830019,45.2333188817933,2.61268883101506,0.0708133912647687
6,0.584971217623952,-0.0143519894983296,-3.86061241526302e-05,0.0641907055519747,NA,5,-17.0231414242233,45.5847443869081,2.96411433612981,0.0594024441254346
6,2.99044771136384,-0.171440762383812,-4.30886459822272e-05,NA,NA,4,-18.2968894422168,45.5937788844336,2.9731488336553,0.0591347136660134
6,-3.7758828506188,0.307319460765604,NA,0.101641607221952,"+",5,-22.7052022123374,56.9488659631363,14.3282359123581,0.000202356271320502
6,0.5505196930824,NA,NA,NA,"+",3,-25.5401507451288,57.6656673439161,15.0450372931378,0.00014140514980126
6,-0.0703326624007287,NA,NA,0.0587822603398184,"+",4,-24.39091376338,57.7818275267599,15.1611974759817,0.000133426275449178
6,-0.554146229490114,0.104364734134835,NA,NA,"+",4,-25.2921232322645,59.584246464529,16.9636164137507,5.41815049207694e-05
6,-5.48700368379669,0.451719885437853,NA,0.129508923397558,NA,4,-26.3022197432905,61.6044394865809,18.9838094358027,1.97320279837281e-05
6,-0.0299997070762641,NA,NA,0.0691702760019293,NA,3,-29.6223858087344,65.8301374711273,23.209507420349,2.3854650844397e-06
6,0.706855871999844,NA,NA,NA,NA,2,-30.8881914609858,66.0620972076859,23.4414671569076,2.12424031791709e-06
6,-1.59655389210824,0.216129275808219,NA,NA,NA,3,-29.9880250252663,66.5614159041912,23.9407858534129,1.65492367965815e-06
